time/iterations,time/total_timesteps,time/fps,rollout/episodes,time/time_elapsed,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss,train/clip_range,train/approx_kl,rollout/ep_rew_mean,rollout/fill_mean,rollout/ep_len_mean,rollout/success_rate,rollout/win_rate_true_start,rollout/fill_mean_true_start,eval/success_rate,eval/mean_ep_length,eval/mean_reward
73,9568256,50372,706,189,288,1.8697023317217827,-0.00042664278771553654,0.06702232360839844,0.000208773888,0.7995845675468445,0.937436044216156,-0.2691333773545921,0.15281408000000002,0.0039917743,43.2342529296875,0.538418494037002,186.8,0.0,0.0,0.538418494037002,,,
74,9699328,50368,763,192,292,1.8210765477269888,-0.0002421339677312062,0.063873291015625,0.00020750685866666665,0.9000269770622253,0.9391452074050903,-0.2662079557776451,0.15215872,0.003925633,42.38731384277344,0.5430642525443748,183.74,0.0,0.0,0.5430642525443748,,,
75,9830400,50378,709,195,296,1.890137815847993,-0.00043800347702926956,0.0682830810546875,0.00020623982933333333,0.8871775269508362,0.938761830329895,-0.26704917335882783,0.15150336,0.0036977024,42.52582550048828,0.5411203398979609,185.23,0.0,0.0,0.5411203398979609,,,
76,9961472,50338,767,197,300,1.8303989563137293,-0.00024019200645852834,0.06467819213867188,0.0002049728,0.8154139518737793,0.93972247838974,-0.2654044493101537,0.150848,0.0039168717,40.56702423095703,0.5399262800392743,174.02,0.0,0.0,0.5399262800392743,,,
77,10092544,50324,732,200,304,1.9416020475327969,-0.0006641538466283237,0.06545829772949219,0.00020370577066666665,0.9905696511268616,0.9347068071365356,-0.2677050079219043,0.15019264,0.004104483,41.2022819519043,0.537155096809013,178.77,0.0,0.0,0.537155096809013,,,
78,10223616,50336,719,203,308,1.8393763303756714,0.0009527643542242004,0.08168983459472656,0.0002024387413333333,0.9430010318756104,0.9388466477394104,-0.2665087981149554,0.14953728,0.0052409135,43.46261215209961,0.5381273716925086,188.44,0.0,0.0,0.5381273716925086,,,
79,10354688,50358,771,205,312,1.8422653265297413,-2.8441179892979562e-05,0.06579399108886719,0.00020117171199999996,0.8760960698127747,0.9385477304458618,-0.2680612155236304,0.14888192,0.0050277878,40.9061393737793,0.5397831900209765,174.91,0.0,0.0,0.5397831900209765,,,
,10485760,,,,316,1.8981108609586954,-0.0007022730314929504,0.05999755859375,0.00019990468266666667,0.918600857257843,0.9371935129165649,-0.26816842844709754,0.14822656,0.003080966,,,,,,,0.0,178.98,42.88206481933594
80,10485760,50084,731,209,,,,,,,,,,,40.03154373168945,0.5357957136342909,169.5,0.0,0.0,0.5357957136342909,,,
81,10616832,50108,733,211,320,1.9848919808864594,-0.0008678035210323287,0.03612327575683594,0.00019863765333333333,1.0155665874481201,0.9351723194122314,-0.2675679735839367,0.1475712,0.0019495146,42.01246643066406,0.5376181092415745,178.59,0.0,0.0,0.5376181092415745,,,
82,10747904,50141,757,214,324,1.9100148994475603,0.00030114139372017235,0.06485748291015625,0.000197370624,0.8717607259750366,0.9377140998840332,-0.2659551752731204,0.14691584000000002,0.004628784,40.86524963378906,0.5353653962196454,175.8,0.0,0.0,0.5353653962196454,,,
83,10878976,50181,726,216,328,1.9172710627317429,-0.0002212930749010411,0.06817436218261719,0.00019610359466666665,0.8998321890830994,0.9376473426818848,-0.26652134116739035,0.14626048,0.0038086153,40.349300384521484,0.5418154610073802,171.75,0.0,0.0,0.5418154610073802,,,
84,11010048,50196,732,219,332,1.807345086708665,-0.0004402690774440998,0.06280136108398438,0.0001948365653333333,0.8305552005767822,0.9400622248649597,-0.2649569162167609,0.14560512,0.0034080544,41.5446662902832,0.5402583822438103,176.38,0.0,0.0,0.5402583822438103,,,
85,11141120,50217,728,221,336,1.7782229650765657,-0.0003569943582988344,0.06946945190429688,0.00019356953599999996,0.7645251750946045,0.940658688545227,-0.2663374477997422,0.14494975999999998,0.0039462624,42.45835494995117,0.5444478361145028,182.7,0.0,0.0,0.5444478361145028,,,
86,11272192,50256,722,224,340,1.7322239223867655,-0.00047169270601443714,0.055622100830078125,0.00019230250666666662,0.8117805123329163,0.9416232109069824,-0.2655573026277125,0.1442944,0.0032605068,42.538692474365234,0.5406278855032318,182.36,0.0,0.0,0.5406278855032318,,,
87,11403264,50286,777,226,344,1.8270405884832144,-0.00027670444251270965,0.0641326904296875,0.00019103547733333333,0.9455485343933105,0.9387708306312561,-0.2645159997045994,0.14363904,0.0031425369,41.673805236816406,0.5436865436865437,177.24,0.0,0.0,0.5436865436865437,,,
88,11534336,50321,702,229,348,1.9067813232541084,2.2476615413324907e-06,0.06705856323242188,0.000189768448,0.9399052858352661,0.9367629885673523,-0.26508726505562663,0.14298368,0.003759708,41.654300689697266,0.5422602089268755,176.75,0.0,0.0,0.5422602089268755,,,
89,11665408,50383,735,231,352,1.811730034649372,-0.00036061850187252276,0.05836296081542969,0.00018850141866666667,0.897053599357605,0.9387608766555786,-0.2662484413012862,0.14232832,0.0031407974,42.39896011352539,0.540623162845385,182.09,0.0,0.0,0.540623162845385,,,
,11796480,,,,356,1.8263693321496248,0.0003570472308638273,0.07166099548339844,0.00018723438933333333,0.8617398142814636,0.9394352436065674,-0.2654963540844619,0.14167296000000001,0.0045141834,,,,,,,0.0,179.33,43.06172180175781
90,11796480,50106,731,235,,,,,,,,,,,41.71284103393555,0.5512827008495043,178.21,0.0,0.0,0.5512827008495043,,,
91,11927552,50133,730,237,360,1.791580606251955,-0.0004847911759497947,0.05713462829589844,0.00018596736,0.8220740556716919,0.9410158395767212,-0.2665382856503129,0.1410176,0.0029899585,43.06669998168945,0.5490952139353966,184.35,0.0,0.0,0.5490952139353966,,,
92,12058624,50153,746,240,364,1.7470119670033455,-0.0002383220398769481,0.05270957946777344,0.00018470033066666665,0.8411670327186584,0.9431477189064026,-0.2649747524410486,0.14036224,0.002942033,42.8483772277832,0.544219375765399,182.67,0.0,0.0,0.544219375765399,,,
93,12189696,50178,727,242,368,1.8860682416707277,0.0001567208428241429,0.06709861755371094,0.0001834333013333333,0.916043221950531,0.9388303756713867,-0.26356344344094396,0.13970687999999998,0.0036168918,41.911808013916016,0.543345729957376,179.24,0.0,0.0,0.543345729957376,,,
94,12320768,50172,766,245,372,1.8380601089447737,-0.00019391087153053377,0.06531333923339844,0.000182166272,0.9215062856674194,0.9408925175666809,-0.2672204151749611,0.13905152,0.0027643736,42.042335510253906,0.5424362569706347,178.72,0.0,0.0,0.5424362569706347,,,
95,12451840,50172,719,248,376,1.9552070684731007,-0.00026415445245220326,0.06914710998535156,0.00018089924266666665,0.8977027535438538,0.9360284805297852,-0.2671575415879488,0.13839616,0.003980363,41.224666595458984,0.5390374147907759,176.38,0.0,0.0,0.5390374147907759,,,
96,12582912,50187,730,250,380,1.809987623244524,7.092725900292862e-05,0.06485748291015625,0.00017963221333333336,0.8867647647857666,0.9410481452941895,-0.26571975369006395,0.1377408,0.0048144804,40.51811981201172,0.5433113478775579,172.93,0.0,0.0,0.5433113478775579,,,
97,12713984,50208,740,253,384,1.752109730616212,0.0002693929145607399,0.06505012512207031,0.00017836518400000001,0.892967164516449,0.9431836009025574,-0.2644626069813967,0.13708544,0.0032131635,42.120521545410156,0.5452452452452452,180.53,0.0,0.0,0.5452452452452452,,,
