time/fps,rollout/episodes,time/time_elapsed,time/total_timesteps,time/iterations,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_range,train/loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/ep_rew_mean,rollout/win_rate_true_start,rollout/fill_mean_true_start,rollout/ep_len_mean,rollout/fill_mean,rollout/success_rate
14419,0,745,10747904,41,-1.769620575942099e-05,0.009995132553740405,5.2814080000000005e-05,0.00027751922607421875,5.9449367e-06,160,0.9284464120864868,-0.0025132508908427553,0.0737856,0.004557401407510042,,,,,,,,,
14622,0,752,11010048,42,-9.515802275927854e-06,0.010107646048709285,5.1634432e-05,0.00037288665771484375,1.0267604e-05,164,0.9290810823440552,-0.0025962840154534206,0.07313024000000001,0.0049485317431390285,,,,,,,,,
14816,0,760,11272192,43,-3.181823512932169e-05,0.010603070259094238,5.0454784000000006e-05,0.0003719329833984375,1.0133312e-05,168,0.9270814657211304,-0.00266379237655201,0.07247488,0.004738829098641872,,,,,,,,,
15009,0,768,11534336,44,-1.2905341918667546e-05,0.010698086640331894,4.9275136e-05,0.00037860870361328125,7.3819247e-06,172,0.9290514588356018,-0.0028166073843749473,0.07181952,0.004935380071401596,,,,,,,,,
15199,0,776,11796480,45,-2.5791134248720482e-05,0.010634498394210823,4.8095488e-05,0.00032711029052734375,5.8241385e-06,176,0.9289634823799133,-0.002802545361191733,0.07116416,0.004891294986009598,,,,,,,,,
15382,0,783,12058624,46,-1.612984624443925e-05,0.01049095165944891,4.691584e-05,0.00026226043701171875,5.9077856e-06,180,0.9302524924278259,-0.002877472988984664,0.07050880000000001,0.005143572110682726,,,,,,,,,
15565,0,791,12320768,47,-1.2071020137227606e-05,0.0108552958627115,4.5736192e-05,0.00031566619873046875,5.582302e-06,184,0.9286731481552124,-0.0031366006296593696,0.06985344,0.005147836171090603,,,,,,,,,
,,,12582912,,-2.5435757834202377e-05,0.010940351923636626,4.4556544e-05,0.000335693359375,7.758912e-06,188,0.9276477098464966,-0.003294025957075064,0.06919808000000001,0.005877408664673567,16401.53,248.58168029785156,1.0,,,,,,
14263,0,882,12582912,48,,,,,,,,,,,,,,,,,,,
14432,0,890,12845056,49,-1.7643149476498365e-05,0.01129981429403415,4.3376896000000004e-05,0.0003452301025390625,6.5655495e-06,192,0.9268442392349243,-0.0033200137077074032,0.06854272,0.004993632435798645,,,,,,,,,
14599,0,897,13107200,50,-1.6197698187170317e-05,0.011232578683120664,4.219724800000001e-05,0.000438690185546875,5.8102114e-06,196,0.9271864891052246,-0.003712941972480621,0.06788736000000001,0.005397922825068235,,,,,,,,,
14764,0,905,13369344,51,-2.878263558159233e-05,0.010871062098885886,4.10176e-05,0.00043392181396484375,5.4829725e-06,200,0.929786741733551,-0.0038876510952832177,0.067232,0.0054625519551336765,,,,,,,,,
14927,0,913,13631488,52,-2.4258156827272614e-05,0.010882552553084679,3.9837951999999996e-05,0.00046634674072265625,7.2669877e-06,204,0.9281724691390991,-0.004043739145345171,0.06657663999999999,0.005343930330127478,,,,,,,,,
15081,0,921,13893632,53,-1.8060865841107443e-05,0.011806288013758603,3.8658304e-05,0.00048351287841796875,9.177134e-06,208,0.9250664710998535,-0.0037231673177302582,0.06592128,0.006443532183766365,,,,,,,,,
15237,0,929,14155776,54,-1.6305671579175396e-05,0.011194672079000156,3.7478656000000004e-05,0.000377655029296875,4.7863014e-06,212,0.9283590316772461,-0.0035661344500113046,0.06526592,0.005804333370178938,,,,,,,,,
15391,0,936,14417920,55,-2.2866549443278927e-05,0.010912815683695953,3.629900800000001e-05,0.00041294097900390625,4.757674e-06,216,0.930027186870575,-0.003301880176877603,0.06461056000000001,0.005159013904631138,,,,,,,,,
