rollout/episodes,time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/success_rate,rollout/win_rate_true_start,train/loss,rollout/ep_rew_mean,train/policy_gradient_loss,rollout/fill_mean_true_start,train/approx_kl,train/explained_variance,rollout/ep_len_mean,train/n_updates,train/clip_fraction,train/entropy_loss,train/value_loss,train/clip_range,train/learning_rate,rollout/fill_mean,eval/mean_ep_length,eval/mean_reward,eval/success_rate
954,38426,11,14,458752,0.57,0.4528301886792453,4.052290439605713,19.117015838623047,-0.0013792869794997387,0.9128668763102725,0.0024406258,0.3471689820289612,33.98,52,0.01282501220703125,-0.47773346211761236,8.437362909317017,0.19680512000000003,0.00029382323199999996,0.9128668763102725,,,
958,38503,12,15,491520,0.37,0.430062630480167,4.180209159851074,16.386625289916992,-0.0017894454940687865,0.9049451983298539,0.0024096556,0.3549794554710388,34.37,56,0.015960693359375,-0.4669498186558485,8.597172915935516,0.19655936000000002,0.00029334809599999997,0.9049451983298539,,,
949,38708,13,16,524288,0.44,0.47523709167544786,4.315228462219238,17.33610725402832,-0.0017402423836756498,0.9124077976817703,0.0022298994,0.3669421672821045,34.89,60,0.0131683349609375,-0.45841537695378065,8.841300934553146,0.1963136,0.00029287295999999997,0.9124077976817703,,,
939,38745,14,17,557056,0.54,0.483493077742279,4.304927349090576,18.636085510253906,-0.001648114797717426,0.9197949946751863,0.0051501766,0.3481658697128296,34.91,64,0.03183746337890625,-0.4434338714927435,8.826599270105362,0.19606784000000002,0.00029239782399999997,0.9197949946751863,,,
938,38950,15,18,589824,0.51,0.4957356076759062,4.300045967102051,18.296796798706055,-0.0013423153468465898,0.9192430703624733,0.0026429887,0.3695957660675049,34.2,68,0.01689910888671875,-0.4308061767369509,8.550980925559998,0.19582208,0.000291922688,0.9192430703624733,,,
970,39012,15,19,622592,0.45,0.5010309278350515,4.134119033813477,17.507097244262695,-0.0009863849791145185,0.9189432989690721,0.0039662523,0.3742519021034241,33.9,72,0.0281524658203125,-0.42227562703192234,8.355227783322334,0.19557632,0.000291447552,0.9189432989690721,,,
,,,,655360,,,4.358073711395264,,-0.0016925573290791363,,0.0035148181,0.37061071395874023,,76,0.0276641845703125,-0.416458030231297,8.753011971712112,0.19533056000000001,0.000290972416,,30.28,19.590707778930664,0.61
939,38010,17,20,655360,0.48,0.5069222577209798,,18.045085906982422,,0.9237886048988285,,,35.91,,,,,,,0.9237886048988285,,,
927,38119,18,21,688128,0.53,0.5307443365695793,4.207094192504883,18.686216354370117,-0.0011427208228269592,0.924217907227616,0.0028411616,0.373610258102417,34.78,80,0.02245330810546875,-0.40833629481494427,8.548545867204666,0.1950848,0.00029049728,0.924217907227616,,,
929,38236,18,22,720896,0.56,0.5435952637244349,4.146816253662109,18.94562530517578,-0.0010945646063191816,0.9305032292787944,0.0022562146,0.3619590401649475,35.37,84,0.01743316650390625,-0.4026201041415334,8.319101840257645,0.19483904000000002,0.000290022144,0.9305032292787944,,,
