time/total_timesteps,curriculum/frontier,time/iterations,time/time_elapsed,rollout/episodes,curriculum/success_rate,time/fps,train/clip_range,train/explained_variance,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/n_updates,train/policy_gradient_loss,rollout/win_rate_true_start,rollout/fill_mean,rollout/fill_mean_true_start,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,eval/mean_ep_length,eval/success_rate,eval/mean_reward
3670016,80,28,68,1917,0.6006876227897839,53742,0.18230528000000001,0.8527284860610962,0.005173097,2.9888099171221256,1.5071624517440796,0.000265790208,0.053852081298828125,-0.3251984631642699,107,0.0014439127844525501,0.0,0.8930556360568531,0.516801140598166,15.310081481933594,0.53,70.93,,,
3801088,80,29,70,1821,0.5868785238339314,53745,0.18164992000000002,0.8580324649810791,0.0032292842,2.9465976655483246,1.3727095127105713,0.00026452317866666665,0.05957984924316406,-0.31921382574364543,111,0.0019383703220228199,0.0,0.8899939661426024,0.5130463797130463,14.861710548400879,0.52,69.3,,,
3932160,,,,,,,0.18099456,0.8556810617446899,0.00350508,2.861086267977953,1.351820468902588,0.0002632561493333333,0.04864692687988281,-0.30937960324808955,115,-0.0004678613149735611,,,,,,,181.21,0.0,41.69984436035156
3932160,80,30,74,1824,0.6063278008298755,52837,,,,,,,,,,,0.0,0.8834673489278752,0.5115662800847987,16.45144271850586,0.48,79.57,,,
4063232,80,31,76,1817,0.634320735444331,52936,0.1803392,0.8725710511207581,0.0029289979,2.6560583487153053,1.2293754816055298,0.00026198911999999997,0.03510856628417969,-0.29974033311009407,119,-0.001289768826609361,0.0,0.8942158081765494,0.5130162660339076,15.600550651550293,0.54,70.46,,,
4194304,80,32,79,1912,0.6505376344086021,53005,0.17968384,0.8790919184684753,0.0016351265,2.556294225156307,1.1858490705490112,0.0002607220906666666,0.018146514892578125,-0.2902162317186594,123,-0.0014069307180761825,0.0,0.8994718218916266,0.5218916548606894,15.90327262878418,0.49,77.74,,,
4325376,80,33,81,1900,0.6738809640924742,53040,0.17902848,0.8877462148666382,0.0015197718,2.4127954728901386,1.211022973060608,0.0002594550613333333,0.016061782836914062,-0.2806161930784583,127,-0.001609822154023277,0.0,0.8998310591293047,0.5263565109160022,18.699726104736328,0.61,81.29,,,
4456448,80,34,83,1819,0.6957631444614599,53068,0.17837312000000002,0.8943277597427368,0.0014467132,2.2929099202156067,1.1014436483383179,0.000258188032,0.0125732421875,-0.27507805405184627,131,-0.0017070077174139442,0.0,0.8973523642755821,0.5208161865569273,14.632601737976074,0.53,68.41,,,
4587520,80,35,86,1949,0.6942583732057416,53140,0.17771776,0.8936203718185425,0.0014514754,2.3177191615104675,1.1776390075683594,0.00025692100266666665,0.01448822021484375,-0.27353663090616465,135,-0.0016954909806372598,0.0,0.903103205822549,0.5191031328450083,16.85741424560547,0.57,73.6,,,
4718592,80,36,88,1897,0.7166416791604198,53215,0.1770624,0.8965873122215271,0.0013618764,2.282947141677141,1.0545860528945923,0.0002556539733333333,0.016431808471679688,-0.2709951624274254,139,-0.0014739926173206186,0.0,0.8911471654399084,0.5116909839132061,17.02745246887207,0.59,73.56,,,
