time/iterations,curriculum/success_rate,rollout/episodes,curriculum/frontier,time/fps,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/clip_range,train/explained_variance,train/value_loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/loss,rollout/fill_mean,rollout/success_rate,rollout/win_rate_true_start,rollout/ep_rew_mean,rollout/fill_mean_true_start,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,eval/success_rate
,,,,,8388608,,0.072021484375,0.187810304,0.8868544697761536,1.7914311923086643,0.007615751,0.00027643325439999995,-0.0010541490996729408,-0.4912998513318598,105,0.9023779034614563,,,,,,,560.03,96.54116821289062,0.0
32,0.33068362480127184,1761,255,30578,8388608,274,,,,,,,,,,,0.8441581487791028,0.25,0.0,21.55792808532715,0.3441782252673797,133.12,,,
33,0.3368869936034115,1765,255,30995,8650752,279,0.15110426682692307,0.187417088,0.8653206825256348,2.138370532255906,0.020813359,0.0002756730368,0.012633635752046337,-0.48444944620132446,106,1.013681173324585,0.8408308250708215,0.34,0.0,20.660470962524414,0.35143195694087404,120.57,,,
34,0.3520263901979265,2037,255,30974,8912896,287,0.0803670883178711,0.187023872,0.8794459104537964,2.0452629467472434,0.009731462,0.0002749128192,-0.0006214849154275726,-0.479715587105602,110,0.962037205696106,0.8533382425135002,0.35,0.0,20.891063690185547,0.3589137801204819,119.98,,,
35,0.36706948640483383,1918,255,31359,9175040,292,0.14147186279296875,0.186630656,0.8707965612411499,2.3929464370012283,0.019521246,0.00027415260159999996,0.013747253819019534,-0.47354581579566,111,1.2313388586044312,0.8406421076642335,0.2,0.0,30.905113220214844,0.3611472800925926,205.97,,,
36,0.3603701687534023,1728,255,31324,9437184,301,0.10933494567871094,0.18623744,0.8857381343841553,2.299443546682596,0.008636316,0.000273392384,0.0007687043689657003,-0.47401977120898664,115,1.1873000860214233,0.8366676613136574,0.31,0.0,24.83560562133789,0.34967431265984655,165.46,,,
37,0.36768018018018017,1585,255,31295,9699328,309,0.11550045013427734,0.185844224,0.9010701179504395,2.105503828264773,0.014881902,0.0002726321664,0.001482668937114795,-0.46789842937141657,119,0.8886634707450867,0.8576276616719243,0.34,0.0,27.169689178466797,0.3553423341423948,171.36,,,
38,0.37037037037037035,1832,255,31683,9961472,314,0.163177490234375,0.18545100800000003,0.9095510244369507,2.0499350130558014,0.028876686,0.00027187194879999997,0.014883525262121111,-0.4555229917168617,120,1.0410102605819702,0.8559271799945415,0.36,0.0,23.2642879486084,0.34977709487534625,146.77,,,
39,0.3754752851711027,1970,255,32006,10223616,319,0.1182717715992647,0.185057792,0.8795801997184753,2.333227003321928,0.015901675,0.00027111173119999995,0.009682633027242607,-0.45258812343373017,121,1.1678112745285034,0.8653097239847716,0.38,0.0,18.037111282348633,0.361541581284153,103.92,,,
,,,,,10485760,,0.16855875651041666,0.184664576,0.8795815110206604,2.3987914323806763,0.0360439,0.0002703515136,0.017597759996230405,-0.44828100005785626,122,1.2813776731491089,,,,,,,554.43,91.4667739868164,0.0
40,0.3738361266294227,2027,255,31889,10485760,328,,,,,,,,,,,0.8634277102861372,0.31,0.0,14.631943702697754,0.35859168865435354,79.08,,,
41,0.3838582677165354,1929,255,32158,10747904,334,0.1250949435763889,0.18427136,0.8841963410377502,2.374868251659252,0.013844824,0.00026959129599999997,0.007835314721214,-0.45871274007691276,123,1.1480309963226318,0.8533100861845516,0.32,0.0,26.4429874420166,0.360821394836272,158.07,,,
42,0.4031124497991968,1896,255,32492,11010048,338,0.15269252232142858,0.18387814400000002,0.8896408081054688,2.3534044197627475,0.023479333,0.0002688310784,0.012493822224704283,-0.46174050654683796,124,1.1761518716812134,0.8486534150843882,0.35,0.0,20.76058578491211,0.3593459931930693,120.46,,,
43,0.3961038961038961,1863,255,32464,11272192,347,0.09880447387695312,0.183484928,0.8982945680618286,2.2069654017686844,0.0071170265,0.0002680708608,-0.0006860481230432924,-0.4579529231414199,128,1.0830992460250854,0.8596832226247987,0.39,0.0,23.467092514038086,0.3570593836565097,133.96,,,
44,0.3975346687211094,1790,255,32427,11534336,355,0.12457942962646484,0.18309171200000002,0.9067779779434204,2.058483911678195,0.014233658,0.0002673106432,0.0028390232646415825,-0.44706112472340465,132,0.9518559575080872,0.8595604923184358,0.38,0.0,26.808469772338867,0.34993394679300294,162.59,,,
