curriculum/frontier,time/total_timesteps,time/iterations,curriculum/success_rate,time/fps,time/time_elapsed,rollout/episodes,rollout/ep_len_mean,rollout/success_rate,train/explained_variance,rollout/ep_rew_mean,train/approx_kl,rollout/win_rate_true_start,train/learning_rate,rollout/fill_mean,train/n_updates,train/entropy_loss,rollout/fill_mean_true_start,train/value_loss,train/clip_range,train/loss,train/clip_fraction,train/policy_gradient_loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
,1966080,,,,,,,,0.7391655445098877,,0.0017318327,,0.00018786790399999997,,236,-0.11309170979075134,,1.0514273010194302,0.14200063999999998,0.474481463432312,0.02112579345703125,-0.0006000030916766264,0.94,24.156715393066406,44.28
1,1966080,60,nan,38867,50,709,45.96,0.94,,24.125036239624023,,0.9464033850493653,,0.9914492242595204,,,0.9914492242595204,,,,,,,,
1,1998848,61,nan,38937,51,699,45.99,0.95,0.7235150933265686,24.285005569458008,0.0007054532,0.9542203147353362,0.00018596736,0.9916845493562232,240,-0.11067986232228577,0.9916845493562232,1.2497581988573074,0.1410176,0.6350548267364502,0.01514434814453125,-0.0006814813605160452,,,
1,2031616,62,nan,38990,52,735,44.81,0.94,0.7459964752197266,24.12618637084961,0.0008667479,0.9251700680272109,0.00018406681600000003,0.9870748299319728,244,-0.1128184290137142,0.9870748299319728,1.0613663997501135,0.14003456,0.7144957780838013,0.01554107666015625,-0.0008348525188921485,,,
1,2064384,63,nan,39026,52,728,46.72,0.97,0.7113526463508606,24.5042781829834,0.0011530303,0.9532967032967034,0.000182166272,0.9916723901098901,248,-0.11293911398388445,0.9916723901098901,1.491076372563839,0.13905152,0.7523598074913025,0.0169525146484375,-0.0009178342661471106,,,
1,2097152,64,nan,39026,53,711,44.7,0.9,0.7428595423698425,23.556299209594727,0.0008350129,0.9381153305203939,0.000180265728,0.9876054852320675,252,-0.10603233519941568,0.9876054852320675,1.1025252658873796,0.13806848,0.4900635778903961,0.02053070068359375,-0.00043830012873513624,,,
1,2129920,65,nan,38999,54,731,44.87,0.9,0.7253875732421875,23.496126174926758,0.001110612,0.9384404924760602,0.00017836518400000001,0.9873461012311902,256,-0.10519507387652993,0.9873461012311902,1.2471930012106895,0.13708544,0.6045284271240234,0.0182952880859375,-0.0010289911569998367,,,
1,2162688,66,nan,39014,55,736,43.96,0.93,0.704114556312561,23.997034072875977,0.00084619725,0.9402173913043478,0.00017646464000000003,0.9891304347826086,260,-0.10647377069108188,0.9891304347826086,1.413260817527771,0.1361024,0.7135558724403381,0.0146636962890625,-0.0009609488188289106,,,
1,2195456,67,nan,39040,56,706,44.69,0.93,0.7224916815757751,23.966306686401367,0.0008019302,0.9546742209631728,0.000174564096,0.9933604815864022,264,-0.10924801742658019,0.9933604815864022,1.2908844389021397,0.13511936,0.5309785604476929,0.01190948486328125,-0.000611494073382346,,,
1,2228224,68,nan,39083,57,737,44.82,0.97,0.7274113893508911,24.5861759185791,0.0006589646,0.9484396200814111,0.000172663552,0.9923677069199457,268,-0.10462789819575846,0.9923677069199457,1.1158685833215714,0.13413632,0.505693256855011,0.0157318115234375,-0.0002993916095874738,,,
