time/fps,time/total_timesteps,time/time_elapsed,rollout/episodes,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,rollout/win_rate_true_start,train/value_loss,train/n_updates,rollout/fill_mean,train/clip_range,train/explained_variance,rollout/ep_rew_mean,train/loss,train/approx_kl,rollout/success_rate,rollout/ep_len_mean,rollout/fill_mean_true_start,train/clip_fraction,eval/mean_reward,eval/success_rate,eval/mean_ep_length
37937,819200,21,897,25,-0.3869298445060849,-0.001180961618956644,0.00025438694399999997,0.5975473801560758,7.698728993535042,96,0.9406354515050167,0.17640704000000001,0.3767440915107727,19.745737075805664,3.9229283332824707,0.003622542,0.61,35.26,0.9406354515050167,0.0282745361328125,,,
37968,851968,22,921,26,-0.37093012407422066,-0.0014023586154507939,0.0002524864,0.6199782844733985,7.708667129278183,100,0.9427252985884907,0.17542400000000002,0.3839501738548279,19.725387573242188,3.953946113586426,0.0032777297,0.6,35.61,0.9427252985884907,0.029815673828125,,,
37979,884736,23,929,27,-0.3652730602771044,-0.001587526421644725,0.000250585856,0.620021528525296,7.467596933245659,104,0.9414020452099031,0.17444096,0.3770121932029724,19.855754852294922,3.911752462387085,0.0029490453,0.62,35.24,0.9414020452099031,0.02606201171875,,,
38016,917504,24,897,28,-0.35919238720089197,-0.0007810205497662537,0.000248685312,0.6265328874024526,7.597260102629662,108,0.9449554069119287,0.17345792000000002,0.35878390073776245,21.03475570678711,3.6087446212768555,0.0026437214,0.7,36.24,0.9449554069119287,0.02613067626953125,,,
38068,950272,24,891,29,-0.3555854856967926,-0.0013988140781293623,0.00024678476799999997,0.6273849607182941,7.4796677976846695,112,0.9434624017957352,0.17247488,0.37164103984832764,19.824155807495117,3.697204351425171,0.00204148,0.61,36.84,0.9434624017957352,0.0231781005859375,,,
,983040,,,,-0.3516562031581998,-0.0005916068294027355,0.000244884224,,7.23417229950428,116,,0.17149184,0.38028019666671753,,3.4294025897979736,0.0027376728,,,,0.04203033447265625,20.66375732421875,0.7,37.17
37490,983040,26,882,30,,,,0.6587301587301587,,,0.9479875283446711,,,20.274517059326172,,,0.67,36.48,0.9479875283446711,,,,
37562,1015808,27,877,31,-0.3438162161037326,-0.0008528652288077865,0.00024298368,0.6818700114025086,7.005183607339859,120,0.951824401368301,0.17050880000000002,0.3747331500053406,20.564287185668945,3.592458486557007,0.0024284709,0.67,36.71,0.951824401368301,0.02719879150390625,,,
37559,1048576,27,887,32,-0.3357018791139126,-0.0010960149156744592,0.00024108313599999995,0.6989853438556933,6.6867730766534805,124,0.9541995490417137,0.16952576,0.36965906620025635,20.764158248901367,3.123786211013794,0.0016515977,0.69,36.84,0.9541995490417137,0.01993560791015625,,,
37615,1081344,28,899,33,-0.33290983457118273,-0.0015447276309714653,0.000239182592,0.6696329254727474,6.474198028445244,128,0.950083426028921,0.16854272,0.3703070878982544,21.364004135131836,3.3527982234954834,0.002957273,0.73,36.99,0.950083426028921,0.02936553955078125,,,
