curriculum/frontier,time/iterations,time/total_timesteps,curriculum/success_rate,time/fps,time/time_elapsed,rollout/episodes,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/value_loss,train/n_updates,train/loss,train/entropy_loss,rollout/ep_rew_mean,rollout/fill_mean_true_start,rollout/win_rate_true_start,rollout/ep_len_mean,rollout/fill_mean,rollout/success_rate,eval/mean_ep_length,eval/success_rate,eval/mean_reward
80,24,3145728,0.29548627268496974,48342,65,2089,0.0002708583253333333,0.8766200542449951,-0.001565335734085238,0.010890960693359375,0.18492672000000002,0.001527766,3.217675346881151,92,1.6176284551620483,-0.4190349862910807,13.731654167175293,0.512962962962963,0.0,69.36,0.8693745604548221,0.22,,,
80,25,3276800,0.3209764918625678,48411,67,2175,0.00026959129599999997,0.8761215806007385,-0.0017463297426729696,0.011180877685546875,0.18427136,0.0014825067,3.202428724616766,96,1.6210774183273315,-0.4061847757548094,12.105539321899414,0.5203583713302936,0.0,55.47,0.8720987654320987,0.31,,,
80,26,3407872,0.32369402985074625,48434,70,2107,0.00026832426666666663,0.8739475011825562,-0.0014489002896880265,0.011272430419921875,0.183616,0.0013368317,3.2918338514864445,100,1.6976169347763062,-0.3892905837856233,12.329570770263672,0.5192651254566302,0.0,61.44,0.8675783836359694,0.24,,,
80,27,3538944,0.3303360151443445,48328,73,2057,0.00026705723733333334,0.8830490708351135,-0.0014624019931943621,0.011671066284179688,0.18296064,0.0015873256,3.167858887463808,104,1.6799790859222412,-0.38699709763750434,11.95907974243164,0.5110944277610944,0.0,61.93,0.8683387649519556,0.21,,,
80,28,3670016,0.3549309194854693,48399,75,2036,0.000265790208,0.8825467824935913,-0.0010312405793229118,0.014951705932617188,0.18230528000000001,0.0016669083,3.161827128380537,108,1.6020643711090088,-0.37431477289646864,12.872840881347656,0.5087719298245613,0.0,58.17,0.8691879502292075,0.34,,,
80,29,3801088,0.38517796196977083,48452,78,1966,0.00026452317866666665,0.8811327219009399,-0.0012845860874222126,0.012933731079101562,0.18164992000000002,0.0014592675,3.1413141898810863,112,1.6979742050170898,-0.36313321348279715,14.067582130432129,0.5194704744905548,0.0,63.43,0.8735604034010274,0.39,,,
,,3932160,,,,,0.0002632561493333333,0.8823282122612,-0.0010509034436836373,0.014255523681640625,0.18099456,0.0017122119,3.0235025323927402,116,1.5436431169509888,-0.35123459389433265,,,,,,,183.85,0.0,42.80720520019531
80,30,3932160,0.3731549815498155,47656,82,2115,,,,,,,,,,,13.667130470275879,0.5186289943933493,0.0,63.88,0.8732743776084988,0.31,,,
80,31,4063232,0.37122557726465366,47765,85,2166,0.00026198911999999997,0.8819020986557007,-0.0011874746032844996,0.011861801147460938,0.1803392,0.0014807342,3.173287969082594,120,1.6209169626235962,-0.3377300025895238,12.264548301696777,0.5234388978350331,0.0,56.46,0.8832575265323803,0.41,,,
80,32,4194304,0.384297520661157,47828,87,2064,0.0002607220906666666,0.885952353477478,-0.0007857298578528571,0.014566421508789062,0.17968384,0.0014256914,3.093500029295683,124,1.5380913019180298,-0.33480570185929537,13.760963439941406,0.518358600396597,0.0,70.05,0.88458225667528,0.29,,,
80,33,4325376,0.40037071362372567,47824,90,2087,0.0002594550613333333,0.887322723865509,-0.0011112135616713203,0.0150604248046875,0.17902848,0.0014933543,3.000150393694639,128,1.632494330406189,-0.33067140402272344,14.803540229797363,0.5149212926990705,0.0,67.47,0.8762651806893941,0.39,,,
80,34,4456448,0.41473586654309547,47817,93,2081,0.000258188032,0.8828744292259216,-0.0014264617402659496,0.01264190673828125,0.17837312000000002,0.0013745176,3.1072169952094555,132,1.551304578781128,-0.3254644782282412,14.931561470031738,0.5200070046405744,0.0,69.45,0.8790052265945266,0.37,,,
80,35,4587520,0.3955495004541326,47871,95,2092,0.00025692100266666665,0.8808096647262573,-0.000714030777089647,0.017858505249023438,0.17771776,0.0016834158,3.2123934403061867,136,1.6310467720031738,-0.3183464128524065,11.885929107666016,0.5164925609370054,0.0,55.08,0.8850293888534807,0.35,,,
