curriculum/frontier,time/fps,rollout/episodes,curriculum/success_rate,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_range,train/approx_kl,rollout/ep_len_mean,train/learning_rate,rollout/fill_mean,rollout/success_rate,train/loss,train/value_loss,rollout/win_rate_true_start,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,rollout/ep_rew_mean,train/n_updates,rollout/fill_mean_true_start,train/entropy_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
1,35455,907,0.625,53,48,1736704,0.14888192,0.002248146,35.98,0.00020117171199999996,0.9719542447629548,0.83,2.605562925338745,5.3678919821977615,0.7761852260198456,0.4858549237251282,0.0353851318359375,-0.0011103518918389454,22.755016326904297,208,0.9719542447629548,-0.26565762888640165,,,
1,35507,909,0.625,54,49,1769472,0.14789888,0.0020690737,37.19,0.00019927116799999998,0.9734598459845984,0.79,2.691356897354126,5.247148513793945,0.7898789878987899,0.496168851852417,0.029876708984375,-0.0010595689200272318,22.34380531311035,212,0.9734598459845984,-0.2574728913605213,,,
1,35541,922,0.625,55,50,1802240,0.14691584000000002,0.0022141978,36.15,0.000197370624,0.9724783080260304,0.79,2.4605062007904053,5.105778813362122,0.7809110629067245,0.4939059615135193,0.04151153564453125,-9.672453597886488e-05,22.144847869873047,216,0.9724783080260304,-0.2565292804501951,,,
1,35563,903,0.625,56,51,1835008,0.1459328,0.0023642285,35.64,0.00019547008,0.9727297895902547,0.76,2.383445978164673,5.144579082727432,0.8028792912513842,0.4912916421890259,0.0328826904296875,-0.0010303802046109922,21.925355911254883,220,0.9727297895902547,-0.2534005418419838,,,
1,35598,904,0.625,57,52,1867776,0.14494975999999998,0.0020775339,36.5,0.00019356953599999996,0.9695796460176991,0.83,2.1932733058929443,4.8206997364759445,0.7721238938053098,0.48470747470855713,0.0268707275390625,-0.00023647036141483113,22.774494171142578,224,0.9695796460176991,-0.2553458996117115,,,
1,35627,902,0.625,58,53,1900544,0.14396672,0.0022651898,37.3,0.000191668992,0.9760947893569845,0.79,2.400940418243408,5.451836556196213,0.8159645232815964,0.4812889099121094,0.0372772216796875,-0.0005642547039315104,22.2936954498291,228,0.9760947893569845,-0.25161915458738804,,,
1,35626,885,0.625,59,54,1933312,0.14298368,0.0024724533,36.88,0.000189768448,0.9757062146892655,0.72,2.2966091632843018,4.525243788957596,0.8180790960451978,0.5150802731513977,0.035888671875,-0.0011202140158275142,21.284116744995117,232,0.9757062146892655,-0.24978163838386536,,,
,,,,,,1966080,0.14200063999999998,0.0021937208,,0.00018786790399999997,,,2.262012481689453,4.565355286002159,,0.5055360198020935,0.0352630615234375,-0.0012696820085693616,,236,,-0.24984280299395323,33.78,23.167217254638672,0.86
1,35485,899,0.625,60,55,1966080,,,36.72,,0.9684371523915462,0.75,,,0.7741935483870968,,,,21.544275283813477,,0.9684371523915462,,,,
1,35519,936,0.625,61,56,1998848,0.1410176,0.0023413764,36.0,0.00018596736,0.9744925213675214,0.91,2.6892666816711426,5.404482498764992,0.8162393162393162,0.4891401529312134,0.04046630859375,-0.0007269914240168873,23.774995803833008,240,0.9744925213675214,-0.2504533804021776,,,
1,35559,906,0.625,62,57,2031616,0.14003456,0.0023658196,36.57,0.00018406681600000003,0.9730270419426048,0.85,2.5769948959350586,4.694171816110611,0.8035320088300221,0.4883631467819214,0.02893829345703125,-0.000547516239748802,23.014423370361328,244,0.9730270419426048,-0.2475268105044961,,,
1,35587,890,0.625,63,58,2064384,0.13905152,0.0019450765,36.39,0.000182166272,0.9747893258426966,0.76,2.355443239212036,4.803899094462395,0.8157303370786517,0.4832344055175781,0.03461456298828125,-0.0006831137434346601,21.88460922241211,248,0.9747893258426966,-0.24404785688966513,,,
1,35630,926,0.625,64,58,2097152,0.13806848,0.0015911681,35.56,0.000180265728,0.9767143628509719,0.76,2.153125762939453,4.614857777953148,0.8315334773218143,0.4868394136428833,0.03040313720703125,-0.0006722185244143475,21.845436096191406,252,0.9767143628509719,-0.24459683569148183,,,
1,35678,934,0.625,65,59,2129920,0.13708544,0.0016637408,35.14,0.00017836518400000001,0.9753747323340471,0.79,2.37217116355896,4.507042363286018,0.8083511777301927,0.4959171414375305,0.02838897705078125,-0.0005115588573971763,22.145856857299805,256,0.9753747323340471,-0.2422776729799807,,,
1,35701,904,0.625,66,60,2162688,0.1361024,0.0026118215,36.45,0.00017646464000000003,0.975871128318584,0.86,2.4700989723205566,4.848045140504837,0.8064159292035398,0.49563878774642944,0.03105926513671875,-0.0004967279892298393,23.184545516967773,260,0.975871128318584,-0.2417431753128767,,,
1,35730,892,0.625,67,61,2195456,0.13511936,0.001632717,36.79,0.000174564096,0.9752662556053812,0.78,2.3660264015197754,4.666648104786873,0.804932735426009,0.5124094486236572,0.0318756103515625,-0.001053296415193472,22.11420440673828,264,0.9752662556053812,-0.2365207066759467,,,
